"grav";"catv";"sexe";"an_nais";"trajet";"voiture";"PL";"moto";"jour";"mois";"lum";"dep";"com";"agg";"casque";"gilet"
4;1;1;1958;5;0;0;0;25;3;1;"75";"75119";2;0;0
4;80;2;1998;2;0;0;0;25;3;1;"75";"75119";2;0;0
4;80;2;1988;1;0;0;0;25;3;1;"75";"75119";2;1;0
4;1;2;1982;1;1;0;0;25;3;1;"75";"75115";2;0;0
4;1;1;2006;5;0;0;0;19;9;1;"44";"44109";2;0;0
4;80;1;1984;0;1;0;0;18;9;1;"37";"37261";2;1;0
4;1;1;1950;5;1;0;0;25;3;1;"67";"67281";2;1;0
4;1;2;2008;5;0;0;0;1;5;2;"974";"97416";2;0;0
4;1;1;1937;0;1;0;0;1;5;1;"69";"69382";2;0;0
4;1;1;1980;0;1;0;0;26;3;1;"60";"60138";2;1;0
4;1;1;1992;1;1;0;0;25;3;2;"93";"93070";2;0;0
4;1;1;1987;0;1;0;0;24;3;3;"69";"69387";2;1;0
4;1;1;1984;5;0;0;1;23;3;1;"33";"33063";2;0;0
4;1;1;1993;5;1;0;0;24;3;1;"75";"75106";2;0;0
4;1;2;2007;2;1;0;0;24;3;1;"75";"75114";2;0;0
4;1;1;2003;5;1;0;0;24;3;1;"75";"75110";2;0;0
4;1;1;1943;5;1;0;0;14;8;1;"17";"17219";1;1;0
3;1;1;1973;5;1;0;0;23;3;1;"12";"12052";1;1;0
3;1;1;1961;3;1;0;0;6;8;1;"971";"97107";2;0;0
3;1;2;1964;5;0;0;0;21;3;1;"34";"34142";2;1;0
2;1;2;1948;5;0;0;0;24;3;1;"29";"29220";2;0;0
4;1;2;1981;0;1;0;0;15;3;1;"44";"44109";2;0;0
4;1;2;1999;0;1;0;0;14;3;3;"44";"44143";2;0;0
4;1;1;1991;0;1;0;0;12;3;3;"44";"44109";2;0;0
4;1;2;1975;0;1;0;0;22;3;2;"74";"74012";2;1;0
3;1;2;1964;1;1;0;0;19;9;1;"01";"01053";2;0;0
4;80;1;1980;1;0;0;0;19;9;2;"75";"75105";2;1;0
4;1;2;2006;2;0;0;1;19;9;1;"75";"75120";2;0;0
4;80;1;1997;5;1;0;0;19;9;1;"75";"75119";2;0;0
4;1;1;1970;5;1;0;0;19;9;1;"75";"75116";2;1;0
4;1;2;1993;1;0;0;0;19;9;1;"75";"75110";2;0;0
3;1;2;1996;5;1;0;0;19;9;1;"75";"75107";2;0;0
4;80;1;1955;5;1;0;0;19;9;2;"75";"75103";2;1;0
4;1;2;1977;0;0;0;0;12;2;1;"69";"69388";2;1;0
3;1;1;2001;5;1;0;0;20;9;2;"01";"01179";2;0;0
3;1;1;1977;5;1;0;0;18;7;1;"14";"14734";1;1;0
4;1;1;1963;5;1;0;0;1;5;1;"971";"97113";1;1;0
4;1;1;1940;0;1;0;0;25;6;1;"38";"38421";2;0;0
3;1;1;1942;5;1;0;0;30;5;1;"13";"13056";2;0;0
3;1;1;2009;2;0;1;0;18;9;1;"974";"97411";2;0;0
3;1;1;1989;5;0;0;0;1;5;1;"76";"76131";2;1;0
3;80;2;1992;0;1;0;0;1;5;1;"49";"49007";2;0;0
4;1;1;1985;0;1;0;0;17;9;1;"72";"72181";2;1;0
4;1;1;1995;0;1;0;0;18;9;1;"67";"67482";2;0;0
3;1;2;1984;0;1;0;0;1;5;1;"35";"35238";2;0;0
2;1;2;1954;0;0;1;0;18;9;1;"59";"59183";2;0;0
4;1;1;1971;0;1;0;0;1;5;1;"25";"25056";2;0;0
4;1;2;1958;0;1;0;0;12;9;1;"54";"54265";2;0;0
4;1;2;1987;9;1;0;0;18;9;1;"33";"33063";2;0;0
4;1;1;1974;1;1;0;0;17;9;1;"29";"29019";2;1;1
